# CrokTile adapt-from-best: f16_256x256x8192
# Reference: /home/albert/workspace/choreo/benchmark/performance/gemm_sp/gemm_sp_f16_aitune_2026-03-25_iter143/gemm_sp_f16_iter143_ref_adapted.cu
# Shape: M=256 N=256 K=8192  Dtype: f16  Max iter: 30
iter	kernel	tflops	hw_eff_pct	decision	bottleneck	idea_summary	run_command
0	seed.cu	17.0124	1.1244	BASELINE	occupancy_limited	shape-aware dynamic seed baseline on GPU1	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_baseline --skip-verify
1	iter001_l2lhs128.cu	16.8768	1.1155	DISCARD	ncu_timeout	promote LHS tensor map to L2_128B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter001 --skip-verify
2	iter002_l2lhsmeta256.cu	16.9382	1.1195	DISCARD	ncu_timeout	promote LHS and metadata tensor maps to L2_256B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter002 --skip-verify
3	iter003_lb256_1.cu	409.2000	27.0456	KEEP	ncu_timeout	add __launch_bounds__(256,1) to reduce register pressure assumptions	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter003 --skip-verify
4	iter004_l2rhs128.cu	411.5190	27.1989	KEEP	ncu_timeout	promote both RHS tensor maps to L2_128B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter004 --skip-verify
5	iter005_wait0.cu	412.6020	27.2704	KEEP	ncu_timeout	tighten warpgroup wait depth from 1 to 0	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter005 --skip-verify
6	iter006_nsfull100.cu	410.9950	27.1642	DISCARD	ncu_timeout	insert producer nanosleep(100) after full-stage barrier arrival	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter006 --skip-verify
7	iter007_port_dns_wn128.cu	408.6620	27.0101	DISCARD	ncu_timeout	port the 4096-square double-nanosleep structure and switch WARP_N to 128	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter007 --skip-verify
8	iter008_l2out256.cu	409.5400	27.0681	DISCARD	ncu_timeout	promote output tensor map to L2_256B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter008 --skip-verify
9	iter009_wait2.cu	408.1250	26.9746	DISCARD	ncu_timeout	relax warpgroup wait depth from 1 to 2	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter009 --skip-verify
10	iter010_nsmeta100.cu	415.0210	27.4303	KEEP	ncu_timeout	insert producer nanosleep(100) after metadata barrier arrival	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter010 --skip-verify
11	iter011_pad0.cu	406.1790	26.8459	DISCARD	ncu_timeout	remove output shared-memory padding	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter011 --skip-verify
12	iter012_l2meta256.cu	407.1250	26.9085	DISCARD	ncu_timeout	promote metadata tensor map to L2_256B only	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter012 --skip-verify
13	iter013_wn128_full100.cu	412.9670	27.2946	DISCARD	ncu_timeout	switch WARP_N to 128 and add only the full-stage 100ns nanosleep	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter013 --skip-verify
14	iter014_pad16.cu	414.2620	27.3802	DISCARD	ncu_timeout	increase output shared-memory padding to 16	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter014 --skip-verify
15	iter015_nsfull200.cu	415.1540	27.4391	KEEP	ncu_timeout	insert producer nanosleep(200) after full-stage barrier arrival	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter015 --skip-verify
16	iter016_l2all256.cu	417.2810	27.5797	KEEP	ncu_timeout	promote all tensor maps to L2_256B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter016 --skip-verify
17	iter017_wn128_meta100.cu	415.2570	27.4459	DISCARD	ncu_timeout	switch WARP_N to 128 and add only the metadata 100ns nanosleep	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter017 --skip-verify
18	iter018_lb384_1.cu	14.8434	0.9811	DISCARD	ncu_timeout	add __launch_bounds__(384,1) to constrain compiler occupancy assumptions	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter018 --skip-verify
19	iter019_nsmeta200.cu	417.1980	27.5743	DISCARD	ncu_timeout	insert producer nanosleep(200) after metadata barrier arrival	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter019 --skip-verify
20	iter020_l2lhs256.cu	416.1640	27.5059	DISCARD	ncu_timeout	promote only the LHS tensor map to L2_256B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter020 --skip-verify
21	iter021_pad32.cu	416.2770	27.5134	DISCARD	ncu_timeout	increase output shared-memory padding to 32	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter021 --skip-verify
22	iter022_l2rhs256.cu	411.1460	27.1742	DISCARD	ncu_timeout	promote both RHS tensor maps to L2_256B	CUDA_VISIBLE_DEVICES=1 CHOREO_TIMING_WARMUP=10 CHOREO_TIMING_REPEAT=500 CHOREO_SKIP_VERIFY=1 /tmp/f16_256x256x8192_iter022 --skip-verify
